Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering,eigencentrality,pageranks
tonbabayaga,tonbabayaga,,0,1,1,0,1,1,1,1,1,0,46,0,2370,0,0,0.00009
Marilen20674578,Marilen20674578,,0,1,1,0,1,1,1,1,1,0,46,0,2371,0,0,0.00009
ClovesBelles,ClovesBelles,,0,1,1,0,2,2,1,1,1,0,46,0,2372,0,0,0.00009
AmaralBurdim,AmaralBurdim,,0,1,1,0,1,1,1,1,1,0,46,0,2373,0,0,0.00009
biammb,biammb,,0,1,1,0,1,1,1,1,1,0,46,0,2374,0,0,0.00009
venicius_brito,venicius_brito,,0,1,1,0,1,1,1,1,1,0,46,0,2375,0,0,0.00009
MarilandaPires,MarilandaPires,,0,1,1,0,1,1,1,1,1,0,46,0,2376,0,0,0.00009
Helena23957861,Helena23957861,,1,2,3,1,2,3,1,1,1,11,79,0,274,0,0.000393,0.001461
xapusquinha,xapusquinha,,0,1,1,0,1,1,1,1,1,0,46,0,2377,0,0,0.00009
rapido10,rapido10,,0,1,1,0,1,1,1,1,1,0,46,0,2378,0,0,0.00009
ioledes1,ioledes1,,0,1,1,0,1,1,1,1,1,0,46,0,2379,0,0,0.00009
DalmoSergio,DalmoSergio,,0,1,1,0,1,1,1,1,1,0,46,0,2380,0,0,0.00009
rehaum,rehaum,,0,1,1,0,1,1,1,1,1,0,46,0,2381,0,0,0.00009
DrRenan38,DrRenan38,,0,1,1,0,1,1,1,1,1,0,49,0,2382,0,0,0.00009
istoe_brasil,istoe_brasil,,0,1,1,0,1,1,1,1,1,0,46,0,2383,0,0,0.00009
Alessan48181864,Alessan48181864,,0,1,1,0,2,2,1,1,1,0,46,0,2384,0,0,0.00009
_phooliveira,_phooliveira,,0,1,1,0,2,2,1,1,1,0,46,0,2385,0,0,0.00009
ArnaldoRJSP,ArnaldoRJSP,,0,1,1,0,2,2,1,1,1,0,46,0,2386,0,0,0.00009
PatriotaBRJose,PatriotaBRJose,,0,1,1,0,1,1,1,1,1,0,46,0,2387,0,0,0.00009
fleidao,fleidao,,0,1,1,0,2,2,1,1,1,0,46,0,2388,0,0,0.00009
SevilhaLcia,SevilhaLcia,,0,1,1,0,1,1,1,1,1,0,46,0,2389,0,0,0.00009
EdnaldoRita,EdnaldoRita,,0,1,1,0,1,1,1,1,1,0,46,0,2390,0,0,0.00009
AurystellaS,AurystellaS,,0,1,1,0,2,2,1,1,1,0,46,0,2391,0,0,0.00009
pjdoamaral,pjdoamaral,,0,1,1,0,1,1,1,1,1,0,46,0,2392,0,0,0.00009
WalterCattani,WalterCattani,,0,1,1,0,1,1,1,1,1,0,46,0,2393,0,0,0.00009
Ventania38,Ventania38,,0,1,1,0,1,1,1,1,1,0,46,0,2394,0,0,0.00009
