User,Location,Tweeter,Mentions
brasil_rony,,b'@GuilhermeBoulos Mas BOULOS de LARANJAL segue firme!',GuilhermeBoulos
MarioLu46371848,,"b'RT @SpeechesBolso: nas pesquisas Boulos tinha 14% no mximo antes do primeiro turno, aparece um esquema de laranjal dele e... o cara sobe p'",SpeechesBolso
mineirotchotcho,,b'RT @roxmo: Jornalista investigativo desbarata laranjal e desmascara Guilherme Boulos (veja o vdeo) https://t.co/1RCtdSeFD4',roxmo
celsoeduadvogad,,b'RT @roxmo: Jornalista investigativo desbarata laranjal e desmascara Guilherme Boulos (veja o vdeo) https://t.co/1RCtdSeFD4',roxmo
ivantorezan,,"b'RT @SpeechesBolso: nas pesquisas Boulos tinha 14% no mximo antes do primeiro turno, aparece um esquema de laranjal dele e... o cara sobe p'",SpeechesBolso
Roberto24605509,,"b'RT @SpeechesBolso: nas pesquisas Boulos tinha 14% no mximo antes do primeiro turno, aparece um esquema de laranjal dele e... o cara sobe p'",SpeechesBolso
MariaCliaAlexa1,,"b'RT @SpeechesBolso: nas pesquisas Boulos tinha 14% no mximo antes do primeiro turno, aparece um esquema de laranjal dele e... o cara sobe p'",SpeechesBolso
hedynna_,,"b""RT @oswaldojor: A PGR e o STF ignoraram os atos Antidemocrticos de Felipe Neto e Manuela D'villa ao incitar vandalismo no Carrefour. Tamb""",oswaldojor
SpeechesBolso,,"b'nas pesquisas Boulos tinha 14% no mximo antes do primeiro turno, aparece um esquema de laranjal dele e... o cara sobe para 20%, ser que o paulistano esta cedendo por corrupo e acabou todo mundo votando no Boulos por causa dos laranjas dele?'",
MIvana11,,b'O segredo para o laranjal do Boulos  muito P  sol',
Liiii94348647,,b'RT @roxmo: Jornalista investigativo desbarata laranjal e desmascara Guilherme Boulos (veja o vdeo) https://t.co/1RCtdSeFD4',roxmo
Edilson62672959,,"b""RT @oswaldojor: A PGR e o STF ignoraram os atos Antidemocrticos de Felipe Neto e Manuela D'villa ao incitar vandalismo no Carrefour. Tamb""",oswaldojor
Rokunin12,,b'RT @roxmo: Jornalista investigativo desbarata laranjal e desmascara Guilherme Boulos (veja o vdeo) https://t.co/1RCtdSeFD4',roxmo
sil_dleite,,"b'RT @Madruga004: Segundo turno, farei assim, entre dois vermes.\n\nGerente deCemitrio, Covas.\nGerente do Laranjal, Boulos.\n\nPrefiro essa op'",Madruga004
Nelsonrangelf1,,"b""RT @oswaldojor: A PGR e o STF ignoraram os atos Antidemocrticos de Felipe Neto e Manuela D'villa ao incitar vandalismo no Carrefour. Tamb""",oswaldojor
ale_paideia,,b'RT @roxmo: Jornalista investigativo desbarata laranjal e desmascara Guilherme Boulos (veja o vdeo) https://t.co/1RCtdSeFD4',roxmo
Ednei633,,b'RT @roxmo: Jornalista investigativo desbarata laranjal e desmascara Guilherme Boulos (veja o vdeo) https://t.co/1RCtdSeFD4',roxmo
LinoZilda,,"b'@oswaldojor @MarcoFe04024669 Pois ..@STF_oficial ideolgico @MPF_PGR @policiafederal j foram investigar o Laranjal d Boulos? No,n !Se fosse laranjal d Bolsonaro j teriam feito.@CNN q intimou o @exercitooficial j foi investigar o Laranjal ? No, n! Os blogueiros deles so jornaleiros d fundo d quintal'",oswaldojor
PamelacsAlmeida,,"b""RT @oswaldojor: A PGR e o STF ignoraram os atos Antidemocrticos de Felipe Neto e Manuela D'villa ao incitar vandalismo no Carrefour. Tamb""",oswaldojor
passos50,,"b'laranjal do psol com boulos \nLaranjal do pt com arraes\nLaranjal do pt com gadelha\n""namorado da fatima"" https://t.co/d4m97HYqUR'",
PAULOPARMM,,b'@Lilian_Direita Laranjal do Boulos....',Lilian_Direita
AnnieDuarte9,,"b""RT @oswaldojor: A PGR e o STF ignoraram os atos Antidemocrticos de Felipe Neto e Manuela D'villa ao incitar vandalismo no Carrefour. Tamb""",oswaldojor
Israel_Btzur,,"b""RT @oswaldojor: A PGR e o STF ignoraram os atos Antidemocrticos de Felipe Neto e Manuela D'villa ao incitar vandalismo no Carrefour. Tamb""",oswaldojor
